kingdom,phylum,class,order,family,genus,species,scientificName,decimalLatitude,decimalLongitude,eventDate,month,year
Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis pes-caprae,Oxalis pes-caprae L.,36.338947,4.466777,2025-02-21,February,2025
Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo,Arundo donax,Arundo donax L.,34.897217,-1.355339,2025-06-04,June,2025
Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops apiaster,"Merops apiaster Linnaeus, 1758",35.305812,-0.093992,2025-09-02,September,2025
Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Eobania,Eobania vermiculata,"Eobania vermiculata (O.F.Müller, 1774)",36.601634,4.494226,2025-04-02,April,2025
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Bubulcus,Bubulcus ibis,"Ardea ibis Linnaeus, 1758",36.725126,2.991703,2025-04-01,April,2025
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,"Columba palumbus Linnaeus, 1758",36.723675,2.994484,2025-09-19,September,2025
Animalia,Mollusca,Gastropoda,Neogastropoda,Pisaniidae,Pisania,Pisania striata,"Pisania striata (Gmelin, 1791)",35.797121,-0.157988,2025-02-13,February,2025
Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,Columba palumbus,"Columba palumbus Linnaeus, 1758",35.305812,-0.093992,2025-07-25,July,2025
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,Gyps fulvus,"Gyps fulvus (Hablizl, 1783)",36.324994,4.928728,2025-03-22,March,2025
Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Bellevalia,Bellevalia mauritanica,Bellevalia mauritanica Pomel,36.742743,2.971631,2025-03-17,March,2025
Animalia,Arthropoda,Insecta,Coleoptera,Cleridae,Trichodes,Trichodes umbellatarum,"Trichodes umbellatarum (Olivier, 1800)",36.327332,6.58099,2025-03-18,March,2025
